TRAPPIST-1,23:06:29.36,-05:02:29.2
HD 164509 b,+18:01:31.23,+00:06:16.58
CoRoT-3 b,19:28:13.265,+00:07:18.6
CoRoT-20 b,06:30:52.900,+00:13:36.8
HIP 116454 b,+23:35:49.42,+00:26:45.48
CoRoT-10 b,19:24:15.300,+00:44:46.0
WASP-71 b,01:57:03.208,+00:45:31.7
HD 5319 b,+00:55:01.40,+00:47:22.84
HD 5319 c,+00:55:01.40,+00:47:22.84
CoRoT-5 b,06:45:06.541,+00:48:54.8
WASP-37 b,14:47:46.560,+01:03:53.8
HD 38529 b,+05:46:34.96,+01:10:06.74
HD 38529 c,+05:46:34.96,+01:10:06.74
WASP-32 b,00:15:50.846,+01:12:00.7
CoRoT-2 b,19:27:06.496,+01:23:01.3
CoRoT-8 b,19:26:21.240,+01:25:35.2
GJ 328 b,+08:55:07.60,+01:32:56.57
HD 95089 b,+10:58:47.76,+01:43:45.59
WASP-84 b,08:44:25.713,+01:51:36.0
WASP-82 b,04:50:38.56,+01:53:38.1
omega Ser b,+15:50:17.53,+02:11:47.85
WASP-24 b,15:08:51.739,+02:20:35.9
HD 10442 b,01:41:53.142,+02:42:15.
HD 102195 b,+11:45:42.40,+02:49:18.31
HD 99492 b,+11:26:46.70,+03:00:21.11
HD 102329 b,+11:46:46.67,+03:28:27.62
HD 200964 b,+21:06:39.79,+03:48:10.79
HD 200964 c,+21:06:39.79,+03:48:10.79
HAT-P-26 b,14:12:37.537,+04:03:36.1
HD 175541 b,+18:55:40.89,+04:15:55.95
CoRoT-23 b,18:39:07.840,+04:21:28.0
HD 33636 b,+05:11:46.34,+04:24:13.94
HD 28678 b,+04:31:25.45,+04:34:31.15
HD 74156 b,+08:42:25.11,+04:34:42.91
HD 74156 c,+08:42:25.11,+04:34:42.91
HD 192699 b,+20:16:06.03,+04:34:51.31
HAT-P-41 b,19:49:17.439,+04:40:20.7
HAT-P-35 b,08:13:00.179,+04:47:13.3
GJ 1214 b,17:15:18.940,+04:57:49.7
HD 46375 b,+06:33:12.56,+05:27:47.38
CoRoT-27 b,18:33:59.0,+05:32:18.503
HD 159243 b,+17:33:21.58,+05:42:02.44
HD 159243 c,+17:33:21.58,+05:42:02.44
HAT-P-30 b,08:15:47.976,+05:50:12.3
CoRoT-11 b,18:42:44.950,+05:56:15.7
HAT-P-27 b,14:51:04.189,+05:56:50.5
HD 37605 b,+05:40:01.70,+06:03:40.24
HD 37605 c,+05:40:01.70,+06:03:40.24
CoRoT-9 b,18:43:08.810,+06:12:14.9
CoRoT-22 b,18:42:40.109,+06:13:08.
WASP-2 b,20:30:54.130,+06:25:46.3
GJ 179 b,+04:52:05.64,+06:28:38.25
CoRoT-6 b,18:44:17.406,+06:39:47.5
HD 171028 b,18:32:15.493,+06:56:44.7
CoRoT-25 b,18:39:00.123,+06:58:11.2
CoRoT-26 b,18:39:00.123,+06:58:11.2
HD 34445 b,+05:17:40.98,+07:21:13.34
WASP-104 b,10:42:24.584,+07:26:06.
HD 4313 b,+00:45:40.36,+07:50:42.02
HD 183263 b,+19:28:24.58,+08:21:29.28
HD 183263 c,+19:28:24.58,+08:21:29.28
xi Aql b,+19:54:14.82,+08:27:41.94
HD 220773 b,+23:26:27.43,+08:38:39.79
WASP-52 b,23:13:58.760,+08:45:40.6
bet Cnc b,+08:16:30.95,+09:11:08.39
GJ 504 b,+13:16:46.71,+09:25:25.29
HD 128311 b,+14:36:00.44,+09:44:49.65
HD 128311 c,+14:36:00.44,+09:44:49.65
WASP-38 b,16:15:50.364,+10:01:57.3
HD 106252 b,+12:13:29.50,+10:02:32.34
18 Del b,+20:58:25.96,+10:50:21.73
HD 45652 b,+06:29:13.07,+10:56:02.56
HD 196885 b,+20:39:51.85,+11:14:58.01
M 67 SAND 364 b,08:49:56.82,+11:41:33.00
HD 170469 b,+18:29:11.01,+11:41:43.96
M 67 YBP 1194 b,08:51:00.81,+11:48:52.76
M 67 YBP 1514 b,08:51:00.77,+11:53:11.51
HD 152581 b,+16:53:43.58,+11:58:25.62
HD 31253 b,+04:54:43.60,+12:21:08.27
HD 89307 b,+10:18:21.45,+12:37:16.33
PSR B1257+12 A,13:00:03.577,+12:40:56.4
PSR B1257+12 B,13:00:03.577,+12:40:56.4
PSR B1257+12 C,13:00:03.577,+12:40:56.4
NN Ser c,15:52:56.131,+12:54:44.6
NN Ser d,15:52:56.131,+12:54:44.6
HD 73534 b,+08:39:15.87,+12:57:38.17
HD 75784 b,+08:52:24.01,+13:14:01.14
70 Vir b,+13:28:25.95,+13:46:48.68
HD 1502 b,+00:19:17.02,+14:03:17.27
HD 102272 b,+11:46:23.54,+14:07:26.29
HAT-P-24 b,07:15:18.020,+14:15:45.3
BD +14 4559 b,+21:13:35.85,+14:41:21.78
HD 285507 b,+04:07:01.15,+15:20:06.28
GJ 3470 b,07:59:05.870,+15:23:29.5
HD 142245 b,+15:52:56.31,+15:25:50.73
HD 210702 b,+22:11:51.33,+16:02:26.15
HD 231701 b,+19:32:04.12,+16:28:27.31
HAT-P-23 b,20:24:29.724,+16:45:43.7
tau Boo b,+13:47:16.04,+17:27:24.39
HD 24040 b,+03:50:22.90,+17:28:37.13
HD 114762 b,+13:12:20.10,+17:31:01.66
11 Com b,12:20:43.093,+17:47:33.55
HAT-P-39 b,07:35:01.979,+17:49:48.3
HAT-P-34 b,20:12:46.885,+18:06:17.4
HD 88133 b,+10:10:07.68,+18:11:15.04
HD 131496 b,+14:53:23.00,+18:14:07.76
WASP-21 b,23:09:58.254,+18:23:45.8
HD 219828 b,+23:18:46.74,+18:38:44.57
HD 195019 b,+20:28:18.42,+18:46:10.68
GJ 176 b,+04:42:55.37,+18:57:39.17
epsilon Tau b,+04:28:36.93,+19:10:49.88
Pr 211 b,08:42:11.492,+19:16:37.3
TYC 1422-614-1 b,10:17:06.674,+19:33:30.
TYC 1422-614-1 c,10:17:06.674,+19:33:30.
gamma Leo A b,+10:19:58.16,+19:50:30.70
BD +20 2457 b,10:16:44.863,+19:53:28.9
BD +20 2457 c,10:16:44.863,+19:53:28.9
HD 10697 b,+01:44:55.85,+20:05:00.26
Pr 201 b,08:41:43.823,+20:13:36.8
HD 5891 b,+01:00:33.19,+20:17:33.30
HD 81040 b,+09:23:47.18,+20:21:51.72
HD 100655 b,+11:35:03.79,+20:26:29.57
HD 4203 b,+00:44:41.12,+20:26:57.22
HD 37124 b,+05:37:02.54,+20:43:54.51
HD 37124 c,+05:37:02.54,+20:43:54.51
HD 37124 d,+05:37:02.54,+20:43:54.51
51 Peg b,+22:57:27.85,+20:46:07.26
HIP 14810 b,+03:11:14.23,+21:05:50.96
HIP 14810 c,+03:11:14.23,+21:05:50.96
HIP 14810 d,+03:11:14.23,+21:05:50.96
HR 8799 b,+23:07:28.65,+21:08:03.74
HR 8799 c,+23:07:28.65,+21:08:03.74
HR 8799 d,+23:07:28.65,+21:08:03.74
HR 8799 e,+23:07:28.65,+21:08:03.74
HD 208527 b,+21:56:23.98,+21:14:23.36
HD 3651 b,+00:39:22.09,+21:15:04.95
WASP-14 b,14:33:06.355,+21:53:40.9
HD 108863 b,+12:30:19.96,+21:56:53.97
HD 189733 b,+20:00:43.71,+22:42:41.26
HD 108874 b,+12:30:26.80,+22:52:48.16
HD 108874 c,+12:30:26.80,+22:52:48.16
WASP-56 b,12:13:27.906,+23:03:20.3
HD 79498 b,+09:15:09.48,+23:22:33.34
alpha Ari b,+02:07:10.29,+23:27:46.00
HD 50554 b,+06:54:42.85,+24:14:44.85
HAT-P-20 b,07:27:39.949,+24:20:11.3
30 Ari B b,+02:36:57.64,+24:38:53.14
HD 116029 b,+13:20:39.55,+24:38:55.77
