Pulsar, RA, DEC, Distance (arc min)
J1748-2446ad,17:48:04.8,-24:46:45,0.001396
B1937+21,19:39:38.5,+21:34:59.1,0.001558
B1957+20,19:59:36.7,+20:48:15.1,0.001607
J1810+1744,18:10:37.2,+17:44:37.3,0.00166
J1748-2446O,17:48:04.8,-24:46:45,0.001677
J1227-4853,12:27:58.7,-48:53:42.7,0.001686
J1023+0038,10:23:47.6,+00:38:40.8,0.001688
J1748-2446P,17:48:04.8,-24:46:45,0.001729
J1902-5105,19:02:05,-51:09:43,0.00174
J1301+0833,13:01:38.2,+08:33:57.5,0.00184
J1843-1113,18:43:41.2,-11:13:31.0,0.001846
J1723-2837,17:23:23.1,-28:37:57.1,0.001856
J0034-0534,00:34:21.8,-05:34:36.6,0.001877
J1431-4715,14:31:44.6,-47:15:27.5,0.002012
J1649+80,16:50,+80:45,0.002021
J1748-2446Y,17:48:04.8,-24:46:45,0.002048
J1543-5149,15:43:44.1,-51:49:54.6,0.002057
J1748-2446V,17:48:04.8,-24:46:45,0.002073
B0021-72J,00:23:59.4,-72:03:58.7,0.002101
J1903+0327,19:03:05.7,+03:27:19.2,0.00215
J1544+4937,15:44:04.4,+49:37:55.2,0.002159
J1342+2822C,13:42:11,+28:22:32,0.002166
J2241-5236,22:41:42.0,-52:36:36.2,0.002187
J1446-4701,14:46:35.7,-47:01:26.7,0.002195
J0024-7204Y,00:24:05.6,-72:04:52.6,0.002197
J1748-2446E,17:48:04.8,-24:46:45,0.002198
J1748-2446L,17:48:04.8,-24:46:45,0.002245
J2256-1024,22:56:56.3,-10:24:34.3,0.00229
J1701-3006F,17:01:12.8,-30:06:51.8,0.002295
J0218+4232,02:18:06.3,+42:32:17.3,0.002323
J1017-7156,10:17:51.3,-71:56:41.6,0.002339
J1731-1847,17:31:17.6,-18:47:32.6,0.002345
J0024-7204W,00:24:06.0,-72:04:49.0,0.002352
J2043+1711,20:43:20.8,+17:11:28.9,0.00238
J1342+2822B,13:42:11.0,+28:22:40.1,0.002389
J1124-3653,11:24,-36:00,0.00241
J1658-5324,16:58:43,-53:17:45,0.00244
J1824-2452F,18:24:32.8,-24:52:11.2,0.002451
J1748-2446Z,17:48:04.8,-24:46:45,0.002463
J1518+0204C,15:18:32.7,+02:04:47.8,0.002484
J1641+3627E,16:41:41,+36:27:37,0.002487
J1342+2822A,13:42:11,+28:22:32,0.002545
J0557+1550,05:57:31.4,+15:50:06.0,0.002556
J1311-3430,13:11:45.7,-34:30:30.3,0.00256
J0101-6422,01:01:11.1,-64:22:30.1,0.002573
J1546-3747A,15:46:03.4,-37:47:10.1,0.002606
J2215+5135,22:15:32.6,+51:35:36.4,0.00261
B0021-72F,00:24:03.8,-72:04:42.8,0.002624
J1938+2012,19:38,+20:12,0.00263
J1125-6014,11:25:55.2,-60:14:06.6,0.00263
J0024-7204O,00:24:04.6,-72:04:53.7,0.002643
J1745+1017,17:45:33.8,+10:17:52.5,0.002652
J1811-2405,18:11:19.8,-24:05:18.3,0.002661
J1327-0755,13:27:57.5,-07:55:29.8,0.002678
J1832-0836,18:32:27.5,-08:36:54.9,0.002719
J0621+25,06:21,25,0.00272
J0605+37,06:05,37,0.00273
J0337+1715,03:37:43.8,+17:15:14.8,0.002733
J1906+0055,19:06,+00:55,0.00279
J1748-2446Q,17:48:04.8,-24:46:45,0.002812
J0024-7204S,00:24:03.9,-72:04:42.3,0.00283
J0636+5129,06:36:04.8,+51:28:59.9,0.002869
J2339-0533,23:39:38.7,-05:33:05.3,0.002884
J0742+66,07:42,+66:20,0.002886
J2017+0603,20:17:22.7,+06:03:05.5,0.002896
J1909-3744,19:09:47.4,-37:44:14.3,0.002947
J0102+4839,01:03,+48:00,0.00296
J1748-2446K,17:48:04.8,-24:46:45,0.00297
J2229+2643,22:29:50.8,+26:43:57.7,0.002978
J1518+0204D,15:18:34,+02:04:58,0.002988
J1748-2446X,17:48:04.8,-24:46:45,0.002999
J1823-3021D,18:23:40.5,-30:21:43.6,0.00302
J0023+0923,00:23:16.8,+09:23:24.1,0.00305
B1821-24A,18:24:32.0,-24:52:10.8,0.003054
B0021-72N,00:24:09.1,-72:04:28.8,0.003054
J1807-2459A,18:07:20.3,-24:59:52.9,0.003059
J0613-0200,06:13:43.9,-02:00:47.1,0.003062
J1400-1438,14:00:30.3,-14:38:14.4,0.003084
J1125-5825,11:25:44.3,-58:25:16.8,0.003102
J1641+3627D,16:41:41,+36:27:37,0.003118
J2214+3000,22:14:38.8,+30:00:38.2,0.003119
J0740+41,07:41,+41:04,0.003139
J0614-3329,06:14:10.3,-33:29:54.1,0.003149
J1614-2230,16:14:36.5,-22:30:31.1,0.003151
J0308+74,03:08,+74:00,0.00316
J1640+2224,16:40:16.7,+22:24:08.9,0.003163
J1946+3417,19:46:25.1,+34:17:14.6,0.00317
J1518+0204E,15:18:34,+02:04:58,0.003182
J1905+0154A,19:05:15.4,+01:54:33,0.003193
J1816+4510,18:16:35.9,+45:10:33.8,0.003193
J1628-3205,16:28:07.0,-32:05:48.9,0.00321
B0021-72H,00:24:06.7,-72:04:06.7,0.00321
J1710+49,17:10:29,+49:20,0.00322
J1836-2354B,18:36:24.3,-23:54:28.7,0.003232
J1701-3006E,17:01:13.2,-30:06:46.8,0.003234
J1910-5959A,19:11:42.7,-59:58:26.9,0.003266
J1748-2446U,17:48:04.8,-24:46:45,0.003289
J0340+4130,03:40,+41:00,0.00329
J1748-2446af,17:48:04.8,-24:46:45,0.003304
J1630+37,16:30,37,0.00332
J1836-2354A,18:36:25.4,-23:54:52.3,0.003354
J1103-5403,11:03:33.2,-54:03:43.2,0.003393
J1701-3006D,17:01:13.5,-30:06:42.5,0.003418
J2317+1439,23:17:09.2,+14:39:31.2,0.003445
J0751+1807,07:51:09.1,+18:07:38.6,0.003479
J0024-7204R,00:24:05.6,-72:04:52.6,0.00348
B0021-72I,00:24:07.9,-72:04:39.6,0.003485
J1721-2457,17:21:05.4,-24:57:06.3,0.003497
B1639+36B,16:41:41,+36:27:37,0.003528
B0021-72E,00:24:11.1,-72:05:20.1,0.003536
J1216-6410,12:16:07.3,-64:10:09.2,0.003539
J1933-6211,19:33:32.4,-62:11:46.8,0.003543
J1850+0124,18:50:01.0,+01:24:34.6,0.00356
J1748-2446M,17:48:04.8,-24:46:45,0.00357
J1545-4550,15:45:55.9,-45:50:37.5,0.003575
J1701-3006B,17:01:12.6,-30:06:49.0,0.003594
J1600-3053,16:00:51.9,-30:53:49.3,0.003598
J1902-70,19:02,-70,0.0036
J2234+06,22:34:22,+06:11:00,0.0036
J1944+2236,19:44:01.0,+22:36:22.6,0.003618
B1908+00A,19:11:11.0,+01:02:09.7,0.003619
J1801-1417,18:01:51.0,-14:17:34.5,0.003625
J1911-1114,19:11:49.2,-11:14:22.3,0.003626
J1828+0625,18:28:28.0,+06:25:00.5,0.00363
J0024-7204P,00:24:05.6,-72:04:52.6,0.003643
J1740-5340A,17:40:44.5,-53:40:40.9,0.00365
J1748-2446ae,17:48:04.8,-24:46:45,0.003659
B0021-72M,00:23:54.4,-72:05:30.7,0.003677
J1231-1411,12:31:11.3,-14:11:43.6,0.003684
J1147-66,11:47,-66,0.00372
J1641+3627C,16:41:41,+36:27:37,0.003722
J2129-5721,21:29:22.7,-57:21:14.1,0.003726
J1801-0857C,18:01:50.7,-08:57:32.7,0.003739
J1741+1351,17:41:37,+13:51:44,0.003747
J1302-32,13:02,-32:00,0.00377
J1905+0400,19:05:28.2,+04:00:10.8,0.003784
J1923+2515,19:23:22.4,+25:15:40.6,0.003788
J1748-2021F,17:48:52.3,-20:21:39.3,0.003794
J0610-2100,06:10:13.5,-21:00:28.0,0.003861
J1835-3259A,18:35:44,-32:59:25,0.003889
J1751-2857,17:51:32.6,-28:57:46.5,0.003915
