Pulsar,HabCat,Distance (arcmin),Pulsar period
J1748-2446ad,27236,0.8009959776572764,0.001396
B1937+21,37217,0.4240406931669325,0.001558
B1957+20,39726,1.8280634119530754,0.001607
J1810+1744,29601,0.9141863931947145,0.00166
J1748-2446O,27236,0.8009959776572764,0.001677
J1227-4853,2894,1.4395153518651387,0.001686
J1023+0038,110097,1.4888555912140482,0.001688
J1748-2446P,27236,0.8009959776572764,0.001729
J1902-5105,33580,0.8869888150914027,0.00174
J1301+0833,4788,0.86499626924198,0.00184
J1843-1113,32962,2.066990275106381,0.001846
J1723-2837,25141,0.16838695431219833,0.001856
J0034-0534,61261,0.33941733256796874,0.001877
J1431-4715,11645,1.269444326209198,0.002012
J1649+80,22101,0.21405885231500987,0.002021
J1748-2446Y,27236,0.8009959776572764,0.002048
J1543-5149,17341,0.6779502210777107,0.002057
J1748-2446V,27236,0.8009959776572764,0.002073
B0021-72J,59523,1.8638035142320564,0.002101
J1903+0327,33719,2.03484365847667,0.00215
J1544+4937,17216,0.8876359457549371,0.002159
J1342+2822C,7917,0.415364421950769,0.002166
J2241-5236,52439,0.3681844268082424,0.002187
J1446-4701,12818,1.4586113069740627,0.002195
J0024-7204Y,59523,1.8538362795980174,0.002197
J1748-2446E,27236,0.8009959776572764,0.002198
J1748-2446L,27236,0.8009959776572764,0.002245
J2256-1024,53591,1.4076985282443866,0.00229
J1701-3006F,23438,0.2624151186954117,0.002295
J0218+4232,69795,0.3758131502139953,0.002323
J1017-7156,109479,0.9923868615852094,0.002339
J1731-1847,25523,0.8996525404856489,0.002345
J0024-7204W,59523,1.8549599442216242,0.002352
J2043+1711,42844,0.20668367190728046,0.00238
J1342+2822B,7917,0.4175565593439173,0.002389
J1124-3653,115734,0.580676258997601,0.00241
J1658-5324,23694,1.130558645734514,0.00244
J1824-2452F,30102,1.057918293488282,0.002451
J1748-2446Z,27236,0.8009959776572764,0.002463
J1518+0204C,15500,0.29825635393616956,0.002484
J1641+3627E,21724,0.8960276838227775,0.002487
J1342+2822A,7917,0.415364421950769,0.002545
J0557+1550,87207,2.0851266097862893,0.002556
J1311-3430,5765,0.4662361315758511,0.00256
J0101-6422,63029,0.8134201694945278,0.002573
J1546-3747A,17719,1.4104959808001858,0.002606
J2215+5135,50359,0.22819106404771902,0.00261
B0021-72F,59523,1.8552617110462786,0.002624
J1938+2012,36951,0.5389674330943005,0.00263
J1125-6014,116085,1.2701815445939084,0.00263
J0024-7204O,59523,1.852996087191848,0.002643
J1745+1017,27058,0.42093405640465104,0.002652
J1811-2405,29810,1.6483810796406912,0.002661
J1327-0755,6972,0.6790116893749265,0.002678
J1832-0836,30905,2.452469977096644,0.002719
J0621+25,89573,0.9802873657330604,0.00272
J0605+37,88773,0.48700001691338113,0.00273
J0337+1715,76203,0.938519385609704,0.002733
J1906+0055,34239,0.10771576906551969,0.00279
J1748-2446Q,27236,0.8009959776572764,0.002812
J0024-7204S,59523,1.8554428652824662,0.00283
